Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
398,Rajon Rondo,PG,34.0,ATL,20,2,300,29,74,0.3919,13,34,0.3824,16,40,0.4,1,2,0.5,4,40,44,70,12,2,27,18,72
399,Derrick Rose,PG,32.0,TOT,25,3,588,126,293,0.43,23,61,0.377,103,232,0.444,63,74,0.8514,7,48,55,112,29,10,48,29,338
399,Derrick Rose,PG,32.0,DET,15,0,342,79,184,0.4293,13,39,0.3333,66,145,0.4552,42,50,0.84,6,23,29,63,18,4,29,17,213
399,Derrick Rose,PG,32.0,NYK,10,3,246,47,109,0.4312,10,22,0.4545,37,87,0.4253,21,24,0.875,1,25,26,49,11,6,19,12,125
400,Terrence Ross,SG,29.0,ORL,35,2,1032,195,476,0.4097,73,212,0.3443,122,264,0.4621,81,90,0.9,12,110,122,78,39,17,58,64,544
401,Terry Rozier,SG,26.0,CHO,33,33,1106,245,500,0.49,111,253,0.4387,134,247,0.5425,75,91,0.8242,18,109,127,106,46,12,68,65,676
402,Ricky Rubio,PG,30.0,MIN,34,19,863,92,236,0.3898,27,82,0.3293,65,154,0.4221,61,74,0.8243,14,93,107,218,42,0,70,77,272
403,D'Angelo Russell,PG,24.0,MIN,20,19,583,139,326,0.4264,59,148,0.3986,80,178,0.4494,48,64,0.75,9,43,52,101,22,10,54,39,385
404,Domantas Sabonis,PF,24.0,IND,35,35,1278,274,522,0.5249,32,96,0.3333,242,426,0.5681,147,206,0.7136,91,298,389,211,36,21,119,120,727
405,Luka Šamanić,PF,21.0,SAS,9,1,99,15,34,0.4412,8,20,0.4,7,14,0.5,4,8,0.5,6,22,28,1,3,2,6,10,42
406,JaKarr Sampson,PF,27.0,IND,15,0,97,15,32,0.4688,1,5,0.2,14,27,0.5185,8,10,0.8,8,21,29,1,2,3,6,11,39
407,Dario Šarić,C,26.0,PHO,17,0,307,69,143,0.4825,23,61,0.377,46,82,0.561,34,37,0.9189,14,54,68,22,14,3,21,33,195
408,Tomáš Satoranský,SG,29.0,CHI,23,0,476,60,112,0.5357,19,39,0.4872,41,73,0.5616,26,29,0.8966,8,52,60,102,12,4,34,27,165
409,Dennis Schröder,SG,27.0,LAL,33,33,1030,173,393,0.4402,33,104,0.3173,140,289,0.4844,113,136,0.8309,18,97,115,148,30,8,77,88,492
410,Mike Scott,PF,32.0,PHI,17,4,295,26,63,0.4127,19,50,0.38,7,13,0.5385,2,5,0.4,4,43,47,5,8,2,10,17,73
411,Collin Sexton,SG,22.0,CLE,31,31,1127,274,563,0.4867,52,130,0.4,222,433,0.5127,147,183,0.8033,21,60,81,138,36,4,91,88,747
412,Landry Shamet,SG,23.0,BRK,33,0,650,83,216,0.3843,58,162,0.358,25,54,0.463,33,38,0.8684,5,56,61,37,15,5,26,42,257
